,Episode.Season,Actual_imdb_rating,Predicted_imdb_rating
1,1.1,8.2,6.573962328
2,1.1,8.2,6.573962328
3,1.1,8.2,6.573962328
4,1.1,8.2,6.573962328
5,1.1,8.2,6.573962328
6,1.1,8.2,6.573962328
7,1.1,8.2,6.573962328
8,1.1,8.2,6.573962328
9,1.1,8.2,6.573962328
10,1.1,8.2,6.573962328
11,1.1,8.2,6.573962328
12,1.1,8.2,6.573962328
13,1.1,8.2,6.573962328
14,1.1,8.2,6.573962328
15,1.1,8.2,6.545372321
16,1.1,8.2,6.545372321
17,1.1,8.2,6.545372321
18,1.1,8.2,6.608831041
19,1.1,8.2,6.608831041
20,1.1,8.2,6.608831041
21,1.1,8.2,6.608831041
22,1.1,8.2,6.608831041
23,1.1,8.2,6.608831041
24,1.1,8.2,6.608831041
25,1.2,8,6.608831041
26,1.2,8,6.608831041
27,1.2,8,6.608831041
28,1.2,8,6.608831041
29,1.2,8,6.608831041
30,1.2,8,6.608831041
31,1.2,8,6.608831041
32,1.2,8,6.608831041
33,1.2,8,6.608831041
34,1.2,8,6.608831041
35,1.2,8,6.608831041
36,1.2,8,6.608831041
37,1.2,8,6.608831041
38,1.2,8,6.608831041
39,1.2,8,6.665241453
40,1.2,8,6.665241453
41,1.2,8,6.665241453
42,1.2,8,6.665241453
43,1.2,8,6.665241453
44,1.2,8,6.665241453
45,1.2,8,6.665241453
46,1.2,8,6.665241453
47,1.3,8.5,6.751844501
48,1.3,8.5,6.751844501
49,1.3,8.5,6.751844501
50,1.3,8.5,6.751844501
51,1.3,8.5,6.751844501
52,1.3,8.5,6.751844501
53,1.3,8.5,6.751844501
54,1.3,8.5,6.751844501
55,1.3,8.5,6.751844501
56,1.3,8.5,6.751844501
57,1.3,8.5,6.751844501
58,1.3,8.5,6.751844501
59,1.3,6.8,6.751844501
60,1.3,6.8,6.751844501
61,1.3,6.8,6.751844501
62,1.3,6.8,6.751844501
63,1.3,6.8,6.751844501
64,1.3,6.8,6.751844501
65,1.3,6.8,6.742670953
66,1.3,6.8,6.742670953
67,1.3,6.8,6.742670953
68,1.4,8.8,6.69190481
69,1.4,8.8,6.69190481
70,1.4,8.8,6.69190481
71,1.4,8.8,6.69190481
72,1.4,8.8,6.69190481
